year,global_AT,arctic_AT,gl_AT
1965,287.28940779177856,261.2491815101912,266.6167207558123
1966,287.3524334671287,260.7281174346185,266.1065084558452
1967,287.3697684088342,261.73493146839496,265.73267124739067
1968,287.3780664604312,261.23352293172763,266.27348322467446
1969,287.5204713413618,261.77510147288064,266.37321014071387
1970,287.4872900962332,261.66022801486554,266.4837197954441
1971,287.372873168622,261.60955971862955,265.35824750001814
1972,287.4728623169545,261.89463384027613,265.94872085411
1973,287.567831615462,262.01331725713396,266.07738668604895
1974,287.34431738604854,261.7026088543001,266.5121766558688
1975,287.4361105452724,261.93832433966253,266.0437856163261
1976,287.3139438417916,261.7945747842179,266.4354371070438
1977,287.5880965399258,261.86303759804815,266.94321775738615
1978,287.51310936323364,261.54961088757756,266.1896615008341
1979,287.57987015450016,261.1873941925089,266.4407909429104
1980,287.6935362999055,261.9218951651597,267.27457989007905
1981,287.702919691019,262.30276510245056,266.5099910425561
1982,287.4596670975731,261.16307579100277,265.66977955348443
1983,287.64903206234027,261.5967027726646,264.8773766842871
1984,287.4588317701069,262.0413767713965,265.98388785432496
1985,287.51377816002866,261.9973103304845,266.918674729133
1986,287.6396860276661,261.73609979798107,266.29552414635293
1987,287.7086193416373,261.0635547733387,266.4616120622978
1988,287.70127447349114,261.66452807912214,266.3197682430744
1989,287.5916590044835,261.6490970735075,265.422154280693
1990,287.85311364183013,262.37846463260263,266.01212387834767
1991,287.7443786057302,262.26467669324677,266.2008811017299
1992,287.5182361367423,261.71740742279525,265.49672347854107
1993,287.50911002036247,262.206420305747,265.770024489821
1994,287.6560934391591,262.0903300342491,266.3464478661391
1995,287.8525467709974,263.2463747710271,266.761495058807
1996,287.7009655054557,262.6776143457995,267.569699534609
1997,287.86731060339343,262.0570674136437,266.7960299963222
1998,287.94964467547584,262.0317198736259,266.99013339769766
1999,287.74861520389766,262.24540747383924,266.8407347350447
2000,287.77404374858247,262.18591763962417,266.4307857620781
2001,287.9215632260975,262.6383477133177,267.40094896698685
2002,287.9729635917276,262.7477651558359,267.3193197431125
2003,287.9353184715119,262.67664669488886,267.5068840739279
2004,287.89291356193684,262.1482033394006,267.5209942743333
2005,288.05343250047423,263.7894182684236,268.27973706736503
2006,288.03066072955033,263.76588643263653,268.17491223416573
2007,288.0460058054151,263.99505579049907,267.52196704141767
2008,287.86557897109515,263.3835814429349,267.22113558471676
2009,287.9811410028445,263.2183296373507,267.34027377674266
2010,288.1180472436814,264.04967646872643,269.40059847541914
2011,288.0092682370013,264.1095414838468,267.40442335069935
2012,288.0415143377981,264.34113263800157,267.9682046151742
2013,288.11942078019877,263.5835896394609,267.53205016166663
2014,288.171370633403,264.1601821810063,268.0987805934275
2015,288.33139932116893,263.8559338287849,266.62926642271617
